"prob" "type"
"209" 0.60610518 "1-(1-p1)(1-p2)"
"210" 0.60837364 "1-(1-p1)(1-p2)"
"211" 0.5978584 "1-(1-p1)(1-p2)"
"212" 0.60321702 "1-(1-p1)(1-p2)"
"213" 0.59935861 "1-(1-p1)(1-p2)"
"214" 0.59996776 "1-(1-p1)(1-p2)"
"215" 0.59985298 "1-(1-p1)(1-p2)"
"216" 0.59779292 "1-(1-p1)(1-p2)"
"217" 0.60441676 "1-(1-p1)(1-p2)"
"218" 0.5994562 "1-(1-p1)(1-p2)"
"219" 0.60554664 "1-(1-p1)(1-p2)"
"220" 0.594037 "1-(1-p1)(1-p2)"
"221" 0.5978542 "1-(1-p1)(1-p2)"
"222" 0.6080911 "1-(1-p1)(1-p2)"
"223" 0.5999302 "1-(1-p1)(1-p2)"
"224" 0.6042466 "1-(1-p1)(1-p2)"
"225" 0.60543948 "1-(1-p1)(1-p2)"
"226" 0.60696316 "1-(1-p1)(1-p2)"
"227" 0.600157 "1-(1-p1)(1-p2)"
"228" 0.60699928 "1-(1-p1)(1-p2)"
"229" 0.60863305 "1-(1-p1)(1-p2)"
"230" 0.59298516 "1-(1-p1)(1-p2)"
"231" 0.60581494 "1-(1-p1)(1-p2)"
"232" 0.60173304 "1-(1-p1)(1-p2)"
"233" 0.59800922 "1-(1-p1)(1-p2)"
"234" 0.59957744 "1-(1-p1)(1-p2)"
"235" 0.60115582 "1-(1-p1)(1-p2)"
"236" 0.60225595 "1-(1-p1)(1-p2)"
"237" 0.59991724 "1-(1-p1)(1-p2)"
"238" 0.59924523 "1-(1-p1)(1-p2)"
"239" 0.60825175 "1-(1-p1)(1-p2)"
"240" 0.60060304 "1-(1-p1)(1-p2)"
"241" 0.60146038 "1-(1-p1)(1-p2)"
"242" 0.6013456 "1-(1-p1)(1-p2)"
"243" 0.6073601 "1-(1-p1)(1-p2)"
"244" 0.605919 "1-(1-p1)(1-p2)"
"245" 0.60630936 "1-(1-p1)(1-p2)"
"246" 0.604141 "1-(1-p1)(1-p2)"
"247" 0.60331154 "1-(1-p1)(1-p2)"
"248" 0.61252079 "1-(1-p1)(1-p2)"
