"prob1" "prob2" "type"
"174" 0.3273 0.3375 "together"
"175" 0.3317 0.3344 "together"
"176" 0.3249 0.3363 "together"
"177" 0.3295 0.3417 "together"
"178" 0.329 0.3393 "together"
"179" 0.3274 0.338 "together"
"180" 0.3274 0.3385 "together"
"181" 0.3307 0.3359 "together"
"182" 0.3254 0.336 "together"
"183" 0.337 0.3342 "together"
"184" 0.3278 0.3397 "together"
"185" 0.3275 0.3459 "together"
"186" 0.3356 0.3337 "together"
"187" 0.3279 0.3425 "together"
"188" 0.3236 0.3417 "together"
"189" 0.3285 0.3386 "together"
"190" 0.3264 0.347 "together"
"191" 0.3231 0.3385 "together"
"192" 0.3161 0.3448 "together"
"193" 0.3268 0.3458 "together"
"194" 0.3237 0.3417 "together"
"195" 0.3259 0.347 "together"
"196" 0.3284 0.3384 "together"
"197" 0.3232 0.3461 "together"
"198" 0.326 0.3342 "together"
"199" 0.3326 0.3335 "together"
"200" 0.3355 0.3359 "together"
